codigo;nombre;acronimo;curso;semestre;tipo;creditos
93000972;CONTROL Y ROBÓTICA EN MEDICINA;ROB;1;1S;opt;3
93000973;MEDICINA PERSONALIZADA;MPE;1;1S;opt;3
93000974;TEMAS AVANZADOS EN SEÑALES E IMÁGENES MÉDICAS;TSIM;1;1S;obl;3
93000975;TECNOLOGÍAS PARA NANOMEDICINA;NANO;1;1S;obl;3
93000976;CIRUGÍA GUIADA POR IMAGEN;;1;2S;obl;3
93000977;TEMAS AVANZADOS DE IMÁGENES BIOMÉDICAS-II;TAIM;1;2S;obl;3
93000978;LABORATORIO DE SEÑALES BIOMÉDICAS;LSEÑ;1;2S;opt;3
93000979;LABORATORIO DE IMÁGENES MÉDICAS;LIM;1;2S;opt;3
93000980;INTELIGENCIA AMBIENTAL;INAM;1;2S;opt;3
93000981;TECNOLOGÍAS ASISTIVAS;TEAS;1;2S;obl;3
93000982;LABORATORIO DE TELEMEDICINA;LTEL;1;2S;opt;3
93000983;BIOFOTÓNICA;BIOF;1;2S;opt;3
93000984;BIOELECTROMAGNETISMO;BEMG;1;2S;opt;3
93000985;LABORATORIO DE BIOINSTRUMENTACIÓN;LINS;1;2S;opt;3
93000986;MODELOS NUMÉRICOS PARA BIOMECÁNICA DE TEJIDOS Y DEL FLUJO SANGUÍNEO;MOD;1;2S;opt;3
93000987;LABORATORIO DE BIOMECÁNICA;LMEC;1;2S;obl;3
93000988;MEDICINA REGENERATIVA;MERE;1;2S;opt;3
93000989;PRÁCTICAS EXTERNAS;;1;I;opt;3
93000990;SEMINARIOS CLÍNICOS;;1;1S;obl;3
93000991;TRABAJO FIN DE MÁSTER;;1;I;obl;15
93000992;PRÁCTICAS EXTERNAS;PE;1;I;opt;3
93000993;PRÁCTICAS EXTERNAS;PE;1;I;opt;6
93000994;APLICACIONES Y DESPLIEGUE EN NUBES;;1;1S;obl;4.5
93000995;APLICACIONES DE BIG DATA EN NUBES;;1;1S;obl;4.5
93000996;APLICACIONES DE FLUJO AUDIO/VIDEO EN NUBES;;1;1S;obl;4.5
93000997;DISEÑO DE SEGURIDAD, PRIVACIDAD Y SERVICIO;;1;2S;obl;4.5
93000998;MINI-PROYECTO I;;1;1S;obl;3
93000999;MINI-PROYECTO II;;1;2S;obl;3
93001000;ESTUDIO DE INNOVACIÓN Y EMPRENDIMIENTO;;1;I;obl;6
93001001;PROYECTO FIN DE MÁSTER;;1;I;obl;30
93001002;CIBERSEGURIDAD: CONTEXTO Y AMENAZAS;CSCA;1;1S;bas;6
93001003;AUDITORÍA TÉCNICA DE SEGURIDAD;AUTS;1;1S;bas;3
93001004;EVIDENCIAS FORENSES;EVFO;1;2S;obl;3
93001005;SERVICIOS DE CONTROL DE ACCESO;SECA;1;1S;bas;4.5
93001006;SERVICIOS DE SEGURIDAD EN RED;SESR;1;1S;obl;3
93001007;PROTECCIÓN DE SISTEMAS Y SERVICIOS;PRSS;1;1S;obl;4.5
93001008;PROTECCIÓN DE LA INFORMACIÓN;PRIN;1;1S;bas;3
93001009;SEGURIDAD EN EL DESARROLLO SOFTWARE;SEDS;1;2S;obl;3
93001010;INGENIERÍA INVERSA Y ANÁLISIS DE MALWARE;IIAM;1;1S;bas;6
93001011;GESTIÓN DE RIESGOS Y OPERACIONES EN CIBERSEGURIDAD;GROC;1;2S;bas;6
93001012;DISEÑO DE ESTRATEGIAS CORPORATIVAS DE CIBERSEGURIDAD;DECC;1;2S;opt;3
